id,name,degree
"Q734532, Japan","Q734532, Japan",1
"Q838366, Japan","Q838366, Japan",1
"Q747362, Japan","Q747362, Japan",1
"Q836836, Japan","Q836836, Japan",1
"Q823988, Japan","Q823988, Japan",1
"Q820496, Japan","Q820496, Japan",1
"Q823489, Japan","Q823489, Japan",1
"Q750587, Japan","Q750587, Japan",1
"Q753864, Japan","Q753864, Japan",1
"Q765884, Japan","Q765884, Japan",1
"Q823907, Japan","Q823907, Japan",1
"Q823927, Japan","Q823927, Japan",1
"Q821337, Japan","Q821337, Japan",1
"Q816736, Japan","Q816736, Japan",1
"Q770187, Japan","Q770187, Japan",1
"Q823526, Japan","Q823526, Japan",1
"Q817278, Japan","Q817278, Japan",1
"Q823896, Japan","Q823896, Japan",1
"Q820725, Japan","Q820725, Japan",1
"Q823874, Japan","Q823874, Japan",1
"Q825166, Japan","Q825166, Japan",1
"Q823886, Japan","Q823886, Japan",1
"Q817965, Japan","Q817965, Japan",1
"Q766942, Japan","Q766942, Japan",1
"Q16572, China","Q16572, China",1
"Q12439, United States Of America","Q12439, United States Of America",1
"Q16556, United States Of America","Q16556, United States Of America",1
"Q16554, United States Of America","Q16554, United States Of America",1
"Q16739, United States Of America","Q16739, United States Of America",1
"Q17042, United States Of America","Q17042, United States Of America",1
"Q16552, United States Of America","Q16552, United States Of America",1
"Q495373, United States Of America","Q495373, United States Of America",1
"Q26418, Japan","Q26418, Japan",1
"Q20714, South Korea","Q20714, South Korea",1
"Q2843, Germany","Q2843, Germany",1
"Q4051, Germany","Q4051, Germany",1
"Q16553, United States Of America","Q16553, United States Of America",1
"Q31094, South Korea","Q31094, South Korea",1
"Q667738, United States Of America","Q667738, United States Of America",1
"Q42056, South Korea","Q42056, South Korea",1
"Q485176, United States Of America","Q485176, United States Of America",1
"Q576395, United States Of America","Q576395, United States Of America",1
"Q488702, United States Of America","Q488702, United States Of America",1
"Q359990, China","Q359990, China",1
"Q365, Germany","Q365, Germany",1
"Q23556, United States Of America","Q23556, United States Of America",1
"Q1492, Spain","Q1492, Spain",1
"Q3561, Algeria","Q3561, Algeria",1
"Q7903, Morocco","Q7903, Morocco",1
"Q959, Russia","Q959, Russia",1
"Q35493, Kazakhstan","Q35493, Kazakhstan",1
"Q25286, Sweden","Q25286, Sweden",1
"Q3838, Dem. Rep. Congo","Q3838, Dem. Rep. Congo",1
"Q1156, India","Q1156, India",1
"Q1348, India","Q1348, India",1
"Q37100, New Zealand","Q37100, New Zealand",1
"Q384796, Japan","Q384796, Japan",1
"Q378225, Japan","Q378225, Japan",1
"Q1345, United States Of America","Q1345, United States Of America",1
"Q124739, Mexico","Q124739, Mexico",1
"Q1335, Uruguay","Q1335, Uruguay",1
"Q30002, China","Q30002, China",1
"Q38283, Japan","Q38283, Japan",1
"Q340, Canada","Q340, Canada",1
"Q406, Turkey","Q406, Turkey",1
"Q65, United States Of America","Q65, United States Of America",1
"Q459, Bulgaria","Q459, Bulgaria",1
"Q612, United Arab Emirates","Q612, United Arab Emirates",1
"Q273798, Japan","Q273798, Japan",1
"Q48320, Japan","Q48320, Japan",1
"Q1461, Philippines","Q1461, Philippines",1
"Q1854, Vietnam","Q1854, Vietnam",1
"Q1861, Thailand","Q1861, Thailand",1
"Q42780, China","Q42780, China",1
"Q887, Russia","Q887, Russia",1
"Q656, Russia","Q656, Russia",1
"Q883, Russia","Q883, Russia",1
"Q57906, China","Q57906, China",1
"Q976, Russia","Q976, Russia",1
"Q975, United States Of America","Q975, United States Of America",1
"Q1352, India","Q1352, India",1
"Q713310, Taiwan","Q713310, Taiwan",1
"Q72818, Vietnam","Q72818, Vietnam",1
"Q74881, China","Q74881, China",1
"Q8686, China","Q8686, China",1
"Q6106, United States Of America","Q6106, United States Of America",1
"Q3306, Panama","Q3306, Panama",1
"Q9022, Mexico","Q9022, Mexico",1
"Q140631, Taiwan","Q140631, Taiwan",1
"Q17151, Greece","Q17151, Greece",1
"Q18094, United States Of America","Q18094, United States Of America",1
"Q165204, Mexico","Q165204, Mexico",1
"Q5540, Russia","Q5540, Russia",1
"Q5468, South Africa","Q5468, South Africa",1
"Q170322, China","Q170322, China",1
"Q11720, China","Q11720, China",1
"Q26600, Japan","Q26600, Japan",1
"Q16666, China","Q16666, China",1
"Q34664, Japan","Q34664, Japan",1
"Q11736, China","Q11736, China",1
"Q46747, Japan","Q46747, Japan",1
"Q39450, United States Of America","Q39450, United States Of America",1
"Q39561, United States Of America","Q39561, United States Of America",1
"Q34932, Australia","Q34932, Australia",1
"Q203308, Japan","Q203308, Japan",1
"Q181557, Taiwan","Q181557, Taiwan",1
"Q36312, Canada","Q36312, Canada",1
"Q33986, Chile","Q33986, Chile",1
"Q33935, Israel","Q33935, Israel",1
"Q25282, Vietnam","Q25282, Vietnam",1
"Q37951, Japan","Q37951, Japan",1
"Q188806, Japan","Q188806, Japan",1
"Q199889, Japan","Q199889, Japan",1
"Q47034, Finland","Q47034, Finland",1
"Q58570, China","Q58570, China",1
"Q102397, Hungary","Q102397, Hungary",1
"Q98967, Russia","Q98967, Russia",1
"Q182521, Georgia","Q182521, Georgia",1
"Q25409, Slovakia","Q25409, Slovakia",1
"Q37333, Poland","Q37333, Poland",1
"Q2790, Italy","Q2790, Italy",1
"Q1722, Croatia","Q1722, Croatia",1
"Q1012, Slovenia","Q1012, Slovenia",1
"Q5776, Palestine","Q5776, Palestine",1
"Q853708, Germany","Q853708, Germany",1
"Q131605, Italy","Q131605, Italy",1
"Q1020320, Nicaragua","Q1020320, Nicaragua",1
"Q167659, Israel","Q167659, Israel",1
"Q153331, Tanzania","Q153331, Tanzania",1
"Q430776, Israel","Q430776, Israel",1
"Q373813, Portugal","Q373813, Portugal",1
"Q168648, Hungary","Q168648, Hungary",1
"Q42956, China","Q42956, China",1
"Q857202, Japan","Q857202, Japan",1
"Q187205, Romania","Q187205, Romania",1
"Q164234, Japan","Q164234, Japan",1
"Q385375, Japan","Q385375, Japan",1
"Q444210, United States Of America","Q444210, United States Of America",1
"Q3952, Germany","Q3952, Germany",1
"Q7077, Germany","Q7077, Germany",1
"Q7062, Germany","Q7062, Germany",1
"Q185216, United States Of America","Q185216, United States Of America",1
"Q157598, Germany","Q157598, Germany",1
"Q390125, Germany","Q390125, Germany",1
"Q3828, Germany","Q3828, Germany",1
"Q6869, Germany","Q6869, Germany",1
"Q6931, Germany","Q6931, Germany",1
"Q7027, Germany","Q7027, Germany",1
"Q488346, Germany","Q488346, Germany",1
"Q6998, Germany","Q6998, Germany",1
"Q866307, United States Of America","Q866307, United States Of America",1
"Q994, Georgia","Q994, Georgia",1
"Q3936, Germany","Q3936, Germany",1
"Q41876, France","Q41876, France",1
"Q42067, South Korea","Q42067, South Korea",1
"Q437, Slovenia","Q437, Slovenia",1
"Q279, Italy","Q279, Italy",1
"Q70, Switzerland","Q70, Switzerland",1
"Q546, Italy","Q546, Italy",1
"Q1289, France","Q1289, France",1
"Q6506, Bulgaria","Q6506, Bulgaria",1
"Q4190, Austria","Q4190, Austria",1
"Q1731, Germany","Q1731, Germany",1
"Q216, Lithuania","Q216, Lithuania",1
"Q45779, Hungary","Q45779, Hungary",1
"Q749, Netherlands","Q749, Netherlands",1
"Q60037, Hungary","Q60037, Hungary",1
"Q486472, United States Of America","Q486472, United States Of America",1
"Q2814, Germany","Q2814, Germany",1
"Q130212, Hungary","Q130212, Hungary",1
"Q187812, Hungary","Q187812, Hungary",1
"Q184998, Hungary","Q184998, Hungary",1
"Q2973, Germany","Q2973, Germany",1
"Q1010, Slovenia","Q1010, Slovenia",1
"Q1721, Germany","Q1721, Germany",1
"Q81033, Mexico","Q81033, Mexico",1
"Q891, Russia","Q891, Russia",1
"Q3646, Russia","Q3646, Russia",1
"Q467487, Japan","Q467487, Japan",1
"Q498027, Japan","Q498027, Japan",1
"Q582209, Hungary","Q582209, Hungary",1
"Q737822, Turkey","Q737822, Turkey",1
"Q83404, Romania","Q83404, Romania",1
"Q82174, Romania","Q82174, Romania",1
"Q83324, Romania","Q83324, Romania",1
"Q6225, United Kingdom","Q6225, United Kingdom",1
"Q8673, Nigeria","Q8673, Nigeria",1
"Q3866, Tanzania","Q3866, Tanzania",1
"Q157725, Ukraine","Q157725, Ukraine",1
"Q131127, Bosnia And Herz.","Q131127, Bosnia And Herz.",1
"Q168866, Turkey","Q168866, Turkey",1
"Q141810, Canada","Q141810, Canada",1
"Q157835, Ukraine","Q157835, Ukraine",1
"Q182025, Turkey","Q182025, Turkey",1
"Q9365, Tajikistan","Q9365, Tajikistan",1
"Q25804, Norway","Q25804, Norway",1
"Q34404, United States Of America","Q34404, United States Of America",1
"Q174684, Bosnia And Herz.","Q174684, Bosnia And Herz.",1
"Q11746, China","Q11746, China",1
"Q16506, Czechia","Q16506, Czechia",1
"Q185280, Romania","Q185280, Romania",1
"Q31487, Poland","Q31487, Poland",1
"Q179833, Azerbaijan","Q179833, Azerbaijan",1
"Q179608, China","Q179608, China",1
"Q193721, Czechia","Q193721, Czechia",1
"Q158239, Czechia","Q158239, Czechia",1
"Q208151, Nicaragua","Q208151, Nicaragua",1
"Q906, Russia","Q906, Russia",1
"Q226, Greenland","Q226, Greenland",1
"Q3808, Cameroon","Q3808, Cameroon",1
"Q37104, Costa Rica","Q37104, Costa Rica",1
"Q21185, Denmark","Q21185, Denmark",1
"Q9279, Brunei","Q9279, Brunei",1
"Q47048, Finland","Q47048, Finland",1
"Q6157, Finland","Q6157, Finland",1
"Q162022, Belgium","Q162022, Belgium",1
"Q127623, Finland","Q127623, Finland",1
"Q103717, Finland","Q103717, Finland",1
"Q132671, France","Q132671, France",1
"Q705867, Australia","Q705867, Australia",1
"Q152413, Israel","Q152413, Israel",1
"Q152436, Israel","Q152436, Israel",1
"Q167895, Greece","Q167895, Greece",1
"Q1015681, New Zealand","Q1015681, New Zealand",1
"Q168162, Israel","Q168162, Israel",1
"Q190165, Laos","Q190165, Laos",1
"Q190235, Denmark","Q190235, Denmark",1
"Q450625, Lithuania","Q450625, Lithuania",1
"Q35997, Turkey","Q35997, Turkey",1
"Q14217100, Australia","Q14217100, Australia",1
"Q1354, Bangladesh","Q1354, Bangladesh",1
"Q5092, United States Of America","Q5092, United States Of America",1
"Q693237, Japan","Q693237, Japan",1
"Q42150, South Korea","Q42150, South Korea",1
"Q1475, Philippines","Q1475, Philippines",1
"Q1310, Netherlands","Q1310, Netherlands",1
"Q753731, Japan","Q753731, Japan",1
"Q750573, Japan","Q750573, Japan",1
"Q59473, Serbia","Q59473, Serbia",1
"Q59096, Germany","Q59096, Germany",1
"Q61089, Malaysia","Q61089, Malaysia",1
"Q192926, Bulgaria","Q192926, Bulgaria",1
"Q2861, Germany","Q2861, Germany",1
"Q3857, Germany","Q3857, Germany",1
"Q244025, Canada","Q244025, Canada",1
"Q104036, Latvia","Q104036, Latvia",1
"Q42099, South Korea","Q42099, South Korea",1
"Q11751, Japan","Q11751, Japan",1
"Q504648, Germany","Q504648, Germany",1
"Q2256, United Kingdom","Q2256, United Kingdom",1
"Q13375, Italy","Q13375, Italy",1
"Q42053, Iran","Q42053, Iran",1
"Q42097, South Korea","Q42097, South Korea",1
"Q42108, South Korea","Q42108, South Korea",1
"Q42078, South Korea","Q42078, South Korea",1
"Q41819, United States Of America","Q41819, United States Of America",1
"Q41621, Israel","Q41621, Israel",1
"Q456, France","Q456, France",1
"Q270, Poland","Q270, Poland",1
"Q393, Poland","Q393, Poland",1
"Q85, Egypt","Q85, Egypt",1
"Q495, Italy","Q495, Italy",1
"Q586, Germany","Q586, Germany",1
"Q46852, Romania","Q46852, Romania",1
"Q588, Poland","Q588, Poland",1
"Q100, United States Of America","Q100, United States Of America",1
"Q223920, Congo","Q223920, Congo",1
"Q1295, Germany","Q1295, Germany",1
"Q1342, United States Of America","Q1342, United States Of America",1
"Q1309, Netherlands","Q1309, Netherlands",1
"Q1355, India","Q1355, India",1
"Q174, Brazil","Q174, Brazil",1
"Q271417, Japan","Q271417, Japan",1
"Q1733, Germany","Q1733, Germany",1
"Q1829, Russia","Q1829, Russia",1
"Q43595, Benin","Q43595, Benin",1
"Q42810, France","Q42810, France",1
"Q52028, Thailand","Q52028, Thailand",1
"Q42144, South Korea","Q42144, South Korea",1
"Q42462, United Kingdom","Q42462, United Kingdom",1
"Q42448, United Kingdom","Q42448, United Kingdom",1
"Q647, France","Q647, France",1
"Q5582862, Peru","Q5582862, Peru",1
"Q328000, Japan","Q328000, Japan",1
"Q334197, Brazil","Q334197, Brazil",1
"Q2749, Germany","Q2749, Germany",1
"Q490584, United States Of America","Q490584, United States Of America",1
"Q1491, Bolivia","Q1491, Bolivia",1
"Q2844, Brazil","Q2844, Brazil",1
"Q134494, Hungary","Q134494, Hungary",1
"Q1963, Sudan","Q1963, Sudan",1
"Q2966, Germany","Q2966, Germany",1
"Q3001, Suriname","Q3001, Suriname",1
"Q2971, Germany","Q2971, Germany",1
"Q2978, Germany","Q2978, Germany",1
"Q61092, Malaysia","Q61092, Malaysia",1
"Q62823, Colombia","Q62823, Colombia",1
"Q1017, Germany","Q1017, Germany",1
"Q919, Russia","Q919, Russia",1
"Q55630, Serbia","Q55630, Serbia",1
"Q1647, Croatia","Q1647, Croatia",1
"Q79857, Turkey","Q79857, Turkey",1
"Q79990, New Zealand","Q79990, New Zealand",1
"Q914, Russia","Q914, Russia",1
"Q2907, Bolivia","Q2907, Bolivia",1
"Q915, Russia","Q915, Russia",1
"Q2145, Canada","Q2145, Canada",1
"Q2096, Canada","Q2096, Canada",1
"Q3114, Australia","Q3114, Australia",1
"Q3130, Australia","Q3130, Australia",1
"Q3104, Germany","Q3104, Germany",1
"Q3183, Australia","Q3183, Australia",1
"Q2123, Canada","Q2123, Canada",1
"Q2107, Germany","Q2107, Germany",1
"Q2119, Germany","Q2119, Germany",1
"Q109336, North Korea","Q109336, North Korea",1
"Q3037, Nepal","Q3037, Nepal",1
"Q3014, Germany","Q3014, Germany",1
"Q6346, United States Of America","Q6346, United States Of America",1
"Q3859, Rwanda","Q3859, Rwanda",1
"Q3889, Mozambique","Q3889, Mozambique",1
"Q3323, Russia","Q3323, Russia",1
"Q4361, Brazil","Q4361, Brazil",1
"Q3935, Namibia","Q3935, Namibia",1
"Q92561, Canada","Q92561, Canada",1
"Q100188, Romania","Q100188, Romania",1
"Q102217, Belarus","Q102217, Belarus",1
"Q154835, Belarus","Q154835, Belarus",1
"Q4093, United Kingdom","Q4093, United Kingdom",1
"Q169134, Japan","Q169134, Japan",1
"Q105037, Peru","Q105037, Peru",1
